"","IsCanceled","LeadTime","ArrivalDateYear","ArrivalDateMonth","ArrivalDateWeekNumber","ArrivalDateDayOfMonth","StaysInWeekendNights","StaysInWeekNights","Adults","Children","Babies","Meal","Country","MarketSegment","DistributionChannel","IsRepeatedGuest","PreviousCancellations","PreviousBookingsNotCanceled","ReservedRoomType","AssignedRoomType","BookingChanges","DepositType","Agent","Company","DaysInWaitingList","CustomerType","ADR","RequiredCarParkingSpaces","TotalOfSpecialRequests","ReservationStatus","ReservationStatusDate","ID"
"17",1,43,2015,"July",27,3,0,2,1,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",63,0,0,"Canceled",2015-06-16,"city"
"18",0,43,2015,"July",27,3,0,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",86,0,0,"Check-Out",2015-07-05,"city"
"19",0,43,2015,"July",27,3,0,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",86,0,0,"Check-Out",2015-07-05,"city"
"20",1,43,2015,"July",27,3,0,2,1,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",63,0,0,"Canceled",2015-06-29,"city"
"21",1,43,2015,"July",27,3,0,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",86,0,0,"Canceled",2015-06-16,"city"
"22",1,97,2015,"July",27,3,0,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","13","NULL",0,"Transient",63.75,0,1,"Canceled",2015-06-30,"city"
"23",0,43,2015,"July",27,3,0,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",86,0,0,"Check-Out",2015-07-05,"city"
"24",0,43,2015,"July",27,3,0,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",86,0,0,"Check-Out",2015-07-05,"city"
"25",1,80,2015,"July",27,3,1,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-04-17,"city"
"26",0,60,2015,"July",27,3,2,5,2,0,0,"SC","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","11","NULL",0,"Transient",60.27,0,0,"Check-Out",2015-07-10,"city"
"27",1,106,2015,"July",27,4,1,1,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",68,0,0,"Canceled",2015-06-01,"city"
"28",1,68,2015,"July",27,4,2,1,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",68,0,0,"Canceled",2015-06-23,"city"
"29",1,92,2015,"July",27,4,2,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-06-15,"city"
"30",0,18,2015,"July",27,4,2,2,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",60,0,0,"Check-Out",2015-07-08,"city"
"31",1,71,2015,"July",28,5,2,1,2,0,0,"SC","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","11","NULL",0,"Transient",55.8,0,0,"Canceled",2015-06-30,"city"
"32",1,85,2015,"July",28,5,2,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",52.36,0,0,"Canceled",2015-06-20,"city"
"33",1,92,2015,"July",28,5,2,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",49.74,0,0,"Canceled",2015-07-03,"city"
"34",1,75,2015,"July",28,6,1,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-06-20,"city"
"35",1,92,2015,"July",28,6,1,3,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",68,0,2,"Canceled",2015-04-21,"city"
"36",1,89,2015,"July",28,6,1,4,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",68,0,1,"Canceled",2015-06-20,"city"
"37",1,100,2015,"July",28,6,1,4,2,0,1,"HB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","15","NULL",0,"Transient",93.6,0,2,"Canceled",2015-06-15,"city"
"38",1,83,2015,"July",28,6,2,5,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-05-22,"city"
"39",1,72,2015,"July",28,6,3,6,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-06-25,"city"
"40",1,111,2015,"July",28,6,1,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"No-Show",2015-07-06,"city"
"41",1,86,2015,"July",28,6,1,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,0,"Canceled",2015-06-17,"city"
"42",1,73,2015,"July",28,7,0,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",68,0,0,"Canceled",2015-06-27,"city"
"43",1,92,2015,"July",28,7,0,4,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",68,0,0,"Canceled",2015-06-26,"city"
"44",1,55,2015,"July",28,7,0,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","9","NULL",0,"Transient-Party",81,0,2,"Canceled",2015-06-27,"city"
"45",0,69,2015,"July",28,7,0,2,2,1,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","13","NULL",0,"Transient",76.08,0,0,"Check-Out",2015-07-09,"city"
"46",1,76,2015,"July",28,7,0,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient-Party",76.5,0,2,"Canceled",2015-06-17,"city"
"47",1,76,2015,"July",28,7,0,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient-Party",76.5,0,1,"Canceled",2015-06-17,"city"
"48",1,79,2015,"July",28,7,0,3,2,0,0,"BB","PRT","Complementary","TA/TO",0,0,0,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",37.33,0,1,"Canceled",2015-06-16,"city"
"49",1,61,2015,"July",28,7,0,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-06-29,"city"
"50",1,55,2015,"July",28,7,0,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","9","NULL",0,"Transient-Party",90,0,2,"Canceled",2015-06-27,"city"
"51",1,63,2015,"July",28,7,2,5,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"B","B",0,"No Deposit","NULL","NULL",0,"Transient-Party",45,0,1,"Canceled",2015-07-07,"city"
"52",1,63,2015,"July",28,7,2,5,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"B","B",2,"No Deposit","NULL","NULL",0,"Transient-Party",45,0,1,"Canceled",2015-07-07,"city"
"53",1,77,2015,"July",28,7,2,5,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","8","NULL",0,"Transient",76.5,0,0,"Canceled",2015-07-07,"city"
"54",0,54,2015,"July",28,7,2,8,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",62.37,0,0,"Check-Out",2015-07-17,"city"
"55",1,90,2015,"July",28,7,5,15,1,0,0,"SC","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","11","NULL",0,"Transient",48.6,0,0,"Canceled",2015-04-08,"city"
"56",1,90,2015,"July",28,7,5,15,1,0,0,"SC","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","11","NULL",0,"Transient",48.6,0,0,"Canceled",2015-04-11,"city"
"57",1,117,2015,"July",28,7,5,15,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","11","NULL",0,"Transient",48.6,0,0,"Canceled",2015-04-08,"city"
"58",0,6,2015,"July",28,8,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",62,0,0,"Check-Out",2015-07-10,"city"
"59",1,105,2015,"July",28,8,0,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-04-05,"city"
"60",0,51,2015,"July",28,8,1,4,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","27","NULL",0,"Transient",67.5,0,0,"Check-Out",2015-07-13,"city"
"61",1,97,2015,"July",28,8,1,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,2,"Canceled",2015-06-29,"city"
"62",0,72,2015,"July",28,8,1,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","8","NULL",0,"Transient",76.5,0,0,"Check-Out",2015-07-13,"city"
"63",1,72,2015,"July",28,8,2,5,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-06-25,"city"
"64",1,61,2015,"July",28,8,2,8,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","8","NULL",0,"Transient",68.85,0,0,"Canceled",2015-05-14,"city"
"65",1,63,2015,"July",28,8,2,8,2,0,0,"SC","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","8","NULL",0,"Transient",68.85,0,0,"Canceled",2015-05-07,"city"
"66",1,24,2015,"July",28,9,0,2,3,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","15","NULL",0,"Transient",100,0,0,"Canceled",2015-06-15,"city"
"67",1,89,2015,"July",28,9,0,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-06-27,"city"
"68",0,92,2015,"July",28,9,2,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",58.9,0,1,"Check-Out",2015-07-14,"city"
"69",1,84,2015,"July",28,10,0,1,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient",63.75,0,0,"Canceled",2015-06-30,"city"
"70",1,65,2015,"July",28,10,0,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",68.85,0,1,"Canceled",2015-07-01,"city"
"71",1,85,2015,"July",28,10,1,2,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","A",0,"No Deposit","14","NULL",0,"Transient",76.5,0,0,"Canceled",2015-07-10,"city"
"72",1,115,2015,"July",28,10,2,3,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",68,0,2,"Canceled",2015-05-25,"city"
"73",0,67,2015,"July",28,10,2,3,2,2,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",1,"No Deposit","22","NULL",0,"Transient",106.25,0,0,"Check-Out",2015-07-15,"city"
"74",1,87,2015,"July",28,10,3,7,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",58.9,0,1,"Canceled",2015-06-01,"city"
"75",1,87,2015,"July",28,10,3,7,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",58.9,0,1,"Canceled",2015-06-01,"city"
"76",0,71,2015,"July",28,11,0,1,1,0,0,"SC","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","11","NULL",0,"Transient",51.96,0,0,"Check-Out",2015-07-12,"city"
"77",0,3,2015,"July",28,11,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",75,0,0,"Check-Out",2015-07-12,"city"
"78",0,71,2015,"July",28,11,0,1,1,0,0,"SC","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","11","NULL",0,"Transient",51.96,0,0,"Check-Out",2015-07-12,"city"
"79",0,3,2015,"July",28,11,0,1,3,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",104,0,0,"Check-Out",2015-07-12,"city"
"80",1,109,2015,"July",28,11,2,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-06-27,"city"
"81",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"82",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"83",1,65,2015,"July",28,11,2,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-06-12,"city"
"84",1,114,2015,"July",28,11,2,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","8","NULL",0,"Transient",76.5,0,0,"Canceled",2015-05-11,"city"
"85",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"86",1,96,2015,"July",28,11,2,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Canceled",2015-06-23,"city"
"87",0,3,2015,"July",28,11,2,1,3,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",138.5,0,0,"Check-Out",2015-07-14,"city"
"88",0,61,2015,"July",28,11,2,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",55.96,0,0,"Check-Out",2015-07-14,"city"
"89",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"90",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"91",0,3,2015,"July",28,11,2,1,1,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",72.5,0,0,"Check-Out",2015-07-14,"city"
"92",1,96,2015,"July",28,11,2,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Canceled",2015-06-23,"city"
"93",1,96,2015,"July",28,11,2,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Canceled",2015-06-23,"city"
"94",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"95",1,96,2015,"July",28,11,2,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Canceled",2015-06-23,"city"
"96",0,3,2015,"July",28,11,2,1,1,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",72.5,0,0,"Check-Out",2015-07-14,"city"
"97",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"98",1,96,2015,"July",28,11,2,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Canceled",2015-06-23,"city"
"99",1,96,2015,"July",28,11,2,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Canceled",2015-06-23,"city"
"100",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"101",1,96,2015,"July",28,11,2,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Canceled",2015-06-23,"city"
"102",0,61,2015,"July",28,11,2,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",55.96,0,0,"Check-Out",2015-07-14,"city"
"103",0,3,2015,"July",28,11,2,1,1,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",72.5,0,0,"Check-Out",2015-07-14,"city"
"104",0,66,2015,"July",28,11,2,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",58.9,0,0,"Check-Out",2015-07-14,"city"
"105",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"106",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"107",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"108",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"109",1,96,2015,"July",28,11,2,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Canceled",2015-06-23,"city"
"110",1,114,2015,"July",28,11,2,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","8","NULL",0,"Transient",76.5,0,0,"Canceled",2015-05-11,"city"
"111",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"112",1,96,2015,"July",28,11,2,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Canceled",2015-06-23,"city"
"113",0,3,2015,"July",28,11,2,1,3,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",138.5,0,0,"Check-Out",2015-07-14,"city"
"114",0,96,2015,"July",28,11,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Check-Out",2015-07-14,"city"
"115",1,96,2015,"July",28,11,2,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Canceled",2015-06-23,"city"
"116",1,96,2015,"July",28,11,2,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","17","NULL",0,"Transient-Party",94.5,0,0,"Canceled",2015-06-23,"city"
"117",1,69,2015,"July",29,12,2,0,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-07-02,"city"
"118",1,59,2015,"July",29,12,2,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,0,"Canceled",2015-06-15,"city"
"119",0,96,2015,"July",29,13,1,0,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","13","NULL",0,"Transient",63.75,0,0,"Check-Out",2015-07-14,"city"
"120",1,60,2015,"July",29,13,1,0,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","A",0,"No Deposit","14","NULL",0,"Transient",76.5,0,0,"No-Show",2015-07-13,"city"
"121",1,122,2015,"July",29,13,1,0,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient-Party",76.5,0,2,"Canceled",2015-06-17,"city"
"122",1,60,2015,"July",29,13,1,0,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","A",0,"No Deposit","14","NULL",0,"Transient",91.33,0,0,"No-Show",2015-07-13,"city"
"123",1,60,2015,"July",29,13,1,0,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","A",0,"No Deposit","14","NULL",0,"Transient",76.5,0,0,"No-Show",2015-07-13,"city"
"124",1,60,2015,"July",29,13,1,0,2,1,0,"BB","PRT","Direct","Direct",0,0,0,"A","A",0,"No Deposit","14","NULL",0,"Transient",91.33,0,0,"No-Show",2015-07-13,"city"
"125",1,122,2015,"July",29,13,1,0,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient-Party",76.5,0,2,"Canceled",2015-06-17,"city"
"126",1,60,2015,"July",29,13,1,0,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","A",0,"No Deposit","14","NULL",0,"Transient",91.33,0,0,"No-Show",2015-07-13,"city"
"127",1,123,2015,"July",29,13,1,0,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-06-30,"city"
